艦名,基準排水量,全長,出力,最大速力,主砲口径,主砲装数,主砲搭載数,建造数,進水日
峯風型駆逐艦,1215,102.6,38500,39,12,1,4,15,1919/2/8
神風型駆逐艦,1270,102.6,38500,37.25,12,1,4,9,1922/9/25
睦月型駆逐艦,1315,102.72,38500,37.25,12,1,4,12,1925/7/23
特型駆逐艦,1680,118.5,50000,38,12.7,2,3,24,1927/11/15
初春型駆逐艦,1400,109.5,42000,36.5,12.7,2,2,6,1933/2/27
Maestrale級駆逐艦,1417,106.7,45000,38,12,2,2,4,1934/7/4
白露型駆逐艦,1685,111,42000,34,12.7,2,2,10,1935/4/5
Z1型駆逐艦,2223,119,70000,36,12.7,1,5,4,1935/8/18
朝潮型駆逐艦,2000,118,50000,34.85,12.7,2,3,10,1936/12/16
陽炎型駆逐艦,2033,118.5,52000,35,12.7,2,3,19,1938/9/27
夕雲型駆逐艦,2077,119.3,52000,35,12.7,2,3,19,1941/3/16
秋月型駆逐艦,2701,134.2,52000,33,10,2,4,12,1941/7/2
島風型駆逐艦,2567,129.5,75000,40.37,12.7,2,3,1,1942/7/18
松型駆逐艦,1262,100,19000,27.8,12.7,1,1,32,1944/2/3
天龍型軽巡洋艦,3230,142.65,51000,33,14,1,4,2,1918/3/11
球磨型軽巡洋艦,5100,162.15,90000,36,14,1,7,5,1919/7/14
長良型軽巡洋艦,5170,162.15,90000,36,14,1,7,6,1921/4/25
川内型軽巡洋艦,5195,162.15,90000,35.3,14,1,7,3,1923/10/30
夕張型軽巡洋艦,2890,138.9,57900,35.5,14,2,2,1,1923/3/5
阿賀野型軽巡洋艦,6652,174.5,100000,35,15,2,3,4,1941/10/22
大淀型軽巡洋艦,8164,192,110000,35.5,15.5,3,2,1,1942/4/2
古鷹型重巡洋艦,7950,185.17,102000,34.6,20,1,6,2,1925/2/25
青葉型重巡洋艦,8300,185.17,102000,36,20.3,2,3,2,1926/9/25
妙高型重巡洋艦,10902,203.76,130000,35,20,2,5,4,1927/4/16
高雄型重巡洋艦,13400,203.76,133000,34.2,20.3,2,5,4,1930/5/12
最上型重巡洋艦,11200,200.6,152000,35,15.5,3,5,4,1934/3/14
利根型重巡洋艦,11213,201.6,152000,35.55,20.3,2,4,2,1947/11/21
金剛型巡洋戦艦,32000,222,136000,30,35.6,2,4,4,1912/5/18
扶桑型戦艦,30600,205.1,75000,22.5,35.6,2,6,2,1914/3/28
伊勢型戦艦,31260,208.1,81500,23,41,2,4,2,1916/11/12
長門型戦艦,33800,215.8,82000,26.5,41,2,4,2,1919/11/9
Bismarck級戦艦,41700,251,150170,30.8,38,2,4,2,1939/2/14
大和型戦艦,64000,263.4,150000,27,46,3,3,2,1940/8/8
Iowa級戦艦,48425,270.4,221000,33,40.6,3,3,6,1942/8/27